OrderID,OrderDate,CustomerID,Region,Category,Quantity,Price,Sales
ORD1000,2022-04-25,CUST041,Jakarta,Electronics,3,563575,1690725
ORD1001,2022-10-30,CUST009,Bali,Electronics,5,232323,1161615
ORD1002,2022-04-30,CUST028,Jakarta,Electronics,1,508517,508517
ORD1003,2022-11-29,CUST033,Yogyakarta,Electronics,5,466992,2334960
ORD1004,2022-10-29,CUST045,Yogyakarta,Beauty,2,992059,1984118
ORD1005,2022-08-05,CUST018,Makassar,Electronics,2,1514104,3028208
ORD1006,2022-06-22,CUST022,Surabaya,Clothing,2,1651163,3302326
ORD1007,2022-06-26,CUST007,Jakarta,Beauty,1,802834,802834
ORD1008,2022-03-05,CUST039,Surabaya,Electronics,4,1174551,4698204
ORD1009,2022-11-18,CUST025,Jakarta,Books,3,1789387,5368161
ORD1010,2022-12-27,CUST040,Makassar,Home & Kitchen,5,453258,2266290
ORD1011,2022-05-29,CUST005,Jakarta,Sports,2,1671241,3342482
ORD1012,2022-05-23,CUST006,Makassar,Clothing,1,847182,847182
ORD1013,2022-07-01,CUST030,Bali,Home & Kitchen,2,826325,1652650
ORD1014,2022-11-22,CUST014,Bali,Home & Kitchen,1,1327440,1327440
ORD1015,2022-08-25,CUST011,Yogyakarta,Sports,2,392679,785358
ORD1016,2022-12-17,CUST025,Surabaya,Sports,5,510566,2552830
ORD1017,2022-01-17,CUST021,Makassar,Electronics,2,1773444,3546888
ORD1018,2022-10-18,CUST021,Medan,Home & Kitchen,1,492463,492463
ORD1019,2022-11-26,CUST046,Surabaya,Clothing,4,879700,3518800
ORD1020,2022-10-15,CUST030,Bandung,Home & Kitchen,2,567215,1134430
ORD1021,2022-10-26,CUST035,Surabaya,Sports,5,948490,4742450
ORD1022,2022-09-10,CUST026,Surabaya,Clothing,2,1118554,2237108
ORD1023,2022-11-18,CUST006,Makassar,Electronics,1,370531,370531
ORD1024,2022-02-02,CUST011,Makassar,Sports,4,1300760,5203040
ORD1025,2022-05-09,CUST025,Medan,Books,4,1159633,4638532
ORD1026,2022-10-02,CUST036,Makassar,Electronics,1,1479650,1479650
ORD1027,2022-05-31,CUST049,Surabaya,Sports,3,283941,851823
ORD1028,2022-05-15,CUST028,Bandung,Beauty,1,1564336,1564336
ORD1029,2022-02-24,CUST033,Makassar,Clothing,5,1963919,9819595
ORD1030,2022-04-12,CUST041,Surabaya,Sports,5,1327103,6635515
ORD1031,2022-09-29,CUST010,Surabaya,Clothing,5,1682898,8414490
ORD1032,2022-02-27,CUST001,Yogyakarta,Home & Kitchen,4,90845,363380
ORD1033,2022-05-04,CUST024,Makassar,Home & Kitchen,2,171477,342954
ORD1034,2022-02-05,CUST037,Jakarta,Electronics,4,1761324,7045296
ORD1035,2022-09-01,CUST049,Yogyakarta,Clothing,2,1433597,2867194
ORD1036,2022-11-07,CUST036,Bandung,Home & Kitchen,5,1879624,9398120
ORD1037,2022-06-09,CUST028,Bandung,Books,2,1545162,3090324
ORD1038,2022-09-22,CUST026,Bali,Sports,3,968762,2906286
ORD1039,2022-06-23,CUST029,Jakarta,Clothing,2,184272,368544
